_datetime_end,_datetime_start,_file_system,_jobid,darshan_agg_perf_by_slowest_posix,darshan_app,darshan_biggest_read_api,darshan_biggest_read_api_bytes,darshan_biggest_read_api_files,darshan_biggest_read_fs,darshan_biggest_read_fs_bytes,darshan_biggest_write_api,darshan_biggest_write_api_bytes,darshan_biggest_write_api_files,darshan_biggest_write_fs,darshan_biggest_write_fs_bytes,darshan_end_time,darshan_io_time,darshan_jobid,darshan_nprocs,darshan_start_time,darshan_total_gibs_posix,darshan_walltime,fs_ave_bytes_read_per_timestep,fs_ave_bytes_written_per_timestep,fs_ave_gibs_read_per_timestep,fs_ave_gibs_written_per_timestep,fs_ave_mds_cpu,fs_ave_oss_cpu,fs_frac_missing,fs_frac_zero_read,fs_frac_zero_written,fs_max_mds_cpu,fs_max_oss_cpu,fs_tot_bytes_read,fs_tot_bytes_written,fs_tot_gibs_read,fs_tot_gibs_written,fshealth_ost_actual_timestamp,fshealth_ost_avg_full_kib,fshealth_ost_avg_full_pct,fshealth_ost_avg_overloaded_ost_per_oss,fshealth_ost_avg_overloaded_overload_factor,fshealth_ost_count,fshealth_ost_failures_lead_secs,fshealth_ost_fullness_lead_secs,fshealth_ost_least_full_id,fshealth_ost_least_full_kib,fshealth_ost_least_full_name,fshealth_ost_least_full_pct,fshealth_ost_most_full_id,fshealth_ost_most_full_kib,fshealth_ost_most_full_name,fshealth_ost_most_full_pct,fshealth_ost_next_timestamp,fshealth_ost_overloaded_oss_count,fshealth_ost_overloaded_ost_count,fshealth_ost_overloaded_pct,fshealth_ost_requested_timestamp,jobsdb_concurrent_jobs,jobsdb_concurrent_nodehrs,jobsdb_concurrent_nodes,topology_job_avg_radius,topology_job_max_radius,topology_job_min_radius
535,1509416907.0,1509416806.0,scratch1,7450313,17830.845828,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch1,1649291067392,stdio,5221,2,_unknown,5221,1509442102,0.0,7450313,2048,1509442001,1536.02200317,102,3293613576.53,33253855.5979,3.06741667589,0.0309700664113,1.5500891,5.24806741875,0.0,0.00625,0.00208333333333,3.63136,15.1661,1.58093451674e+12,15961850687.0,1472.36000443,14.8656318774,1509441901.0,28497081909.0,31.3956365341,0.0,1.0,24.0,105.0,105.0,21.0,27129663960.0,OST0015,29.8891329189,17.0,31872800760.0,OST0011,35.1147135408,1509441902.0,0.0,0.0,0.0,1509442006.0,716,161.078055556,5852,4.6596896638,8.72034945566,1.15817512877
536,1509417276.0,1509417132.0,scratch2,7450315,12226.036951,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch2,1649291067392,stdio,5222,2,_unknown,5222,1509442471,0.0,7450315,2048,1509442327,1536.02200317,145,2378824909.98,102766890.098,2.21545333972,0.095709124671,4.2447762069,4.64671635345,0.0,0.0,0.0,9.12188,11.4556,1.65566213734e+12,71525755508.0,1541.95552444,66.613550771,1509442201.0,62538069894.0,68.8990724807,0.0,1.0,24.0,131.0,131.0,16.0,60866250348.0,OST0010,67.0572053385,7.0,64273731232.0,OST0007,70.8112750243,1509442202.0,0.0,0.0,0.0,1509442332.0,760,229.416111111,5888,5.90840132239,9.38708205836,2.80208575356
537,1509417537.0,1509417468.0,scratch3,7450317,27855.805884,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/dbscan_read,posix,1649291067392,1,/scratch3,1649291067392,stdio,5221,2,_unknown,5221,1509442732,0.0,7450317,2048,1509442663,1536.02200317,70,3145584798.35,0.0,2.92955413307,0.0,0.832324214286,4.51337494444,0.00198412698413,0.125,1.0,2.41552,14.0758,1.58537473837e+12,0.0,1476.49528307,0.0,1509442501.0,34819090683.0,38.3606826489,0.0,1.0,36.0,167.0,167.0,31.0,33199634108.0,OST001f,36.5765045294,11.0,36805736528.0,OST000b,40.5493983592,1509442502.0,0.0,0.0,0.0,1509442668.0,705,109.848055556,5756,4.6596896638,8.72034945566,1.15817512877
1068,1498096413.0,1498096353.0,scratch2,6333693,36317.256485,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch2,2250562879488,stdio,1244,2,_unknown,1244,1498121608,59.098738,6333693,2048,1498121548,2096.00001526,61,7267519687.11,52410252.6215,6.76840514607,0.0488108514077,0.670476,9.64826361458,0.0,0.0138888888889,0.00694444444444,2.19381,25.5605,2.09304566989e+12,15094152755.0,1949.30068207,14.0575252054,1498121106.0,69897102076.0,77.006621891,2.0,2.0,24.0,447.0,447.0,15.0,67004722568.0,OST000f,73.8200466465,6.0,80225617468.0,OST0006,88.3856927804,1498121107.0,1.0,2.0,8.33333333333,1498121553.0,368,84.5005555556,5114,5.48955410734,10.0888418069,0.885849312189
1328,1509416675.0,1509416621.0,scratch1,7450313,42351.902836,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch1,2250562879488,stdio,1247,2,_unknown,1247,1509441870,50.677865,7450313,2048,1509441816,2096.00001526,55,8761083869.87,25968167.5708,8.15939518611,0.0241847406801,1.2623748,8.97801021667,0.0,0.0541666666667,0.00416666666667,2.46743,20.6474,2.10266012877e+12,6232360217.0,1958.25484467,5.80433776323,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,219.0,219.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441821.0,721,86.1788888889,5782,4.6596896638,8.72034945566,1.15817512877
1329,1509416996.0,1509416940.0,scratch2,7450315,39430.929202,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch2,2250562879488,stdio,1246,2,_unknown,1246,1509442191,54.431992,7450315,2048,1509442135,2096.00001526,57,7684744974.22,22466418.434,7.15697647466,0.0209234826584,3.34658,8.63445546875,0.0,0.0,0.0,5.68296,20.4818,2.21320655258e+12,6470328509.0,2061.2092247,6.02596300561,1509441901.0,62557989343.0,68.9210180182,0.0,1.0,24.0,239.0,239.0,16.0,60887135180.0,OST0010,67.080214452,7.0,64294621248.0,OST0007,70.8342898492,1509441902.0,0.0,0.0,0.0,1509442140.0,723,89.0897222222,5879,5.90840132239,9.38708205836,2.80208575356
1330,1509417357.0,1509417320.0,scratch3,7450317,60832.558749,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_read,posix,2250562879488,2048,/scratch3,2250562879488,stdio,1245,2,_unknown,1245,1509442552,35.282159,7450317,2048,1509442515,2096.00001526,38,7541330759.11,0.0,7.0234115786,0.0,0.662376875,7.65712155556,0.0,0.194444444444,1.0,1.24169,18.0651,2.17190325862e+12,0.0,2022.74253464,0.0,1509442501.0,34819090683.0,38.3606826489,0.0,1.0,36.0,19.0,19.0,31.0,33199634108.0,OST001f,36.5765045294,11.0,36805736528.0,OST000b,40.5493983592,1509442502.0,0.0,0.0,0.0,1509442520.0,696,58.9475,5747,4.6596896638,8.72034945566,1.15817512877
2123,1509416607.0,1509416555.0,scratch1,7450313,43081.897701,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch1,0,posix,2250562879488,2048,/scratch1,2250562879488,1509441802,49.819161,7450313,2048,1509441750,2096.00001526,53,1379281.45455,8457140059.81,0.00128455595537,7.87632545439,1.62511263636,23.1111890076,0.0,0.0113636363636,0.0,3.69212,45.2717,364130304.0,2.23268497579e+12,0.339122772217,2079.34991996,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,153.0,153.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441755.0,709,83.045,5767,4.6596896638,8.72034945566,1.15817512877
2124,1509416926.0,1509416870.0,scratch2,7450315,40306.669387,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch2,0,posix,2250562879488,2048,/scratch2,2250562879488,1509442121,53.249352,7450315,2048,1509442065,2096.00001526,57,17548458.6667,7756469899.08,0.016343275706,7.22377551634,2.9464825,20.6322678646,0.0,0.0,0.0,4.6013,43.7762,5053956096.0,2.23386333094e+12,4.70686340332,2080.44734871,1509441901.0,62557989343.0,68.9210180182,0.0,1.0,24.0,169.0,169.0,16.0,60887135180.0,OST0010,67.080214452,7.0,64294621248.0,OST0007,70.8342898492,1509441902.0,0.0,0.0,0.0,1509442070.0,721,89.3972222222,5921,5.90840132239,9.38708205836,2.80208575356
2125,1509417307.0,1509417270.0,scratch3,7450317,66277.727341,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/hacc_io_write,lustre,0,0,/scratch3,0,posix,2250562879488,2048,/scratch3,2250562879488,1509442502,32.383488,7450317,2048,1509442465,2096.00001526,38,262144.0,7814454442.67,0.000244140625,7.27777783076,0.841704375,20.3742855035,0.0,0.270833333333,0.0243055555556,1.38018,39.5491,75497472.0,2.25056287949e+12,0.0703125,2096.00001526,1509442201.0,34832668440.0,38.375641455,0.0,1.0,36.0,269.0,269.0,31.0,33215285352.0,OST001f,36.5937477254,11.0,36818224104.0,OST000b,40.5631560976,1509442202.0,0.0,0.0,0.0,1509442470.0,697,58.0711111111,5759,4.6596896638,8.72034945566,1.15817512877
4845,1509416188.0,1509416148.0,scratch1,7450313,21593.725756,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1759232,1,/global/project,1759232,posix,549755813888,1,/scratch1,549755813888,1509441383,0.0,7450313,2048,1509441343,512.0,41,527808.0,2796869002.58,0.000491559505463,2.60478724035,1.24076125,7.13153838542,0.0,0.666666666667,0.0,1.9291,14.2497,101339136.0,5.36998848496e+11,0.0943794250488,500.119150147,1509441301.0,28388895189.0,31.2764457008,0.0,1.0,24.0,47.0,47.0,21.0,27022328200.0,OST0015,29.7708796003,17.0,31764151488.0,OST0011,34.9950131075,1509441302.0,0.0,0.0,0.0,1509441348.0,703,63.855,5756,4.6596896638,8.72034945566,1.15817512877
4846,1509416251.0,1509416202.0,scratch1,7450313,44426.759454,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1654784,1,/global/project,1654784,posix,2199023255552,2048,/scratch1,2199023255552,1509441446,47.204703,7450313,2048,1509441397,2048.0,50,1107012.26667,8484789142.44,0.00103098551432,7.9020756692,1.5050471,20.4785271375,0.0,0.333333333333,0.0,2.29467,39.3936,265682944.0,2.03634939418e+12,0.247436523438,1896.49816061,1509441301.0,28388895189.0,31.2764457008,0.0,1.0,24.0,101.0,101.0,21.0,27022328200.0,OST0015,29.7708796003,17.0,31764151488.0,OST0011,34.9950131075,1509441302.0,0.0,0.0,0.0,1509441402.0,711,78.0894444444,5768,4.6596896638,8.72034945566,1.15817512877
4847,1509416486.0,1509416263.0,scratch1,7450313,2940.235389,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,549755813888,1,/scratch1,549755813888,stdio,7107,2,_unknown,7107,1509441681,0.0,7450313,2048,1509441458,512.0,224,505707829.273,49821644.1673,0.470977117562,0.0464000219175,1.54652211111,2.22645602593,0.000925925925926,0.00740740740741,0.00185185185185,4.52494,9.38515,5.46164455615e+11,53807375700.7,508.655286967,50.1120236709,1509441301.0,28388895189.0,31.2764457008,0.0,1.0,24.0,162.0,162.0,21.0,27022328200.0,OST0015,29.7708796003,17.0,31764151488.0,OST0011,34.9950131075,1509441302.0,0.0,0.0,0.0,1509441463.0,815,354.256388889,6067,4.6596896638,8.72034945566,1.15817512877
4848,1509416546.0,1509416498.0,scratch1,7450313,46176.934251,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,2199023255552,2048,/scratch1,2199023255552,stdio,3460,2,_unknown,3460,1509441741,45.415575,7450313,2048,1509441693,2048.0,49,8776992238.93,14644205.2333,8.17421100934,0.0136384789211,1.6423308,10.1973142375,0.0,0.0291666666667,0.0,3.0959,20.562,2.10647813734e+12,3514609256.0,1961.81064224,3.27323494107,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,96.0,96.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441698.0,708,76.6355555556,5766,4.6596896638,8.72034945566,1.15817512877
4849,1509416437.0,1509416396.0,scratch2,7450315,21820.04017,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1759232,1,/global/project,1759232,posix,549755813888,1,/scratch2,549755813888,1509441632,0.0,7450315,2048,1509441591,512.0,42,107024298.667,2644344299.48,0.0996741453807,2.46273754116,3.06314625,6.97848223958,0.0,0.0,0.0,4.58092,13.427,20548665344.0,5.077141055e+11,19.1374359131,472.845607903,1509441301.0,62444244686.0,68.7957039274,0.0,1.0,24.0,295.0,295.0,16.0,60771586384.0,OST0010,66.9529127159,7.0,64180797788.0,OST0007,70.7088889401,1509441302.0,0.0,0.0,0.0,1509441596.0,703,65.2419444444,5777,5.90840132239,9.38708205836,2.80208575356
4850,1509416505.0,1509416451.0,scratch2,7450315,39933.145023,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1654784,1,/global/project,1654784,posix,2199023255552,2048,/scratch2,2199023255552,1509441700,52.516575,7450315,2048,1509441646,2048.0,55,23511108.2667,8188734546.5,0.021896425883,7.62635334069,2.757234,19.2492647792,0.0,0.025,0.0,4.29293,37.6594,5642665984.0,1.96529629116e+12,5.25514221191,1830.32480177,1509441602.0,62450462631.0,68.802554325,0.0,1.0,24.0,49.0,49.0,16.0,60780181588.0,OST0010,66.9623821732,7.0,64186380300.0,OST0007,70.7150392722,1509441603.0,0.0,0.0,0.0,1509441651.0,719,86.2622222222,5784,5.90840132239,9.38708205836,2.80208575356
4851,1509416795.0,1509416516.0,scratch2,7450315,2383.807312,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,549755813888,1,/scratch2,549755813888,stdio,7107,2,_unknown,7107,1509441990,0.0,7450315,2048,1509441711,512.0,280,479234423.467,31913894.3015,0.446321837107,0.0297221302069,3.50375327273,2.25687783333,0.0,0.0,0.0,6.54582,11.0944,6.32589438976e+11,42126340478.0,589.144824982,39.2332118731,1509441602.0,62450462631.0,68.802554325,0.0,1.0,24.0,114.0,114.0,16.0,60780181588.0,OST0010,66.9623821732,7.0,64186380300.0,OST0007,70.7150392722,1509441603.0,0.0,0.0,0.0,1509441716.0,835,445.408888889,5975,5.90840132239,9.38708205836,2.80208575356
4852,1509416859.0,1509416809.0,scratch2,7450315,43110.768514,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,2199023255552,2048,/scratch2,2199023255552,stdio,3462,2,_unknown,3462,1509442054,48.645665,7450315,2048,1509442004,2048.0,51,8865866001.07,30798263.2792,8.25698115031,0.0286831178508,3.215126,9.44153935417,0.0,0.0,0.0,4.42177,18.2048,2.12780784026e+12,7391583187.0,1981.67547607,6.8839482842,1509441901.0,62557989343.0,68.9210180182,0.0,1.0,24.0,108.0,108.0,16.0,60887135180.0,OST0010,67.080214452,7.0,64294621248.0,OST0007,70.8342898492,1509441902.0,0.0,0.0,0.0,1509442009.0,707,79.4941666667,5843,5.90840132239,9.38708205836,2.80208575356
4853,1509416958.0,1509416925.0,scratch3,7450317,30501.708765,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1759232,1,/global/project,1759232,posix,549755813888,1,/scratch3,549755813888,1509442153,0.0,7450317,2048,1509442120,512.0,34,0.0,2140734480.25,0.0,1.99371434772,0.803671714286,5.41610154365,0.0,1.0,0.00793650793651,1.98069,13.153,0.0,5.39465089024e+11,0.0,502.416015625,1509441901.0,34758102803.0,38.2934914425,0.0,1.0,36.0,224.0,224.0,31.0,33139554168.0,OST001f,36.5103136133,11.0,36744591108.0,OST000b,40.4820335887,1509441902.0,0.0,0.0,0.0,1509442125.0,706,52.7508333333,5777,4.6596896638,8.72034945566,1.15817512877
4854,1509417003.0,1509416970.0,scratch3,7450317,66950.507294,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,stdio,1654784,1,/global/project,1654784,posix,2199023255552,2048,/scratch3,2199023255552,1509442198,31.323915,7450317,2048,1509442165,2048.0,34,0.0,8417689291.17,0.0,7.83958406297,0.980930571429,19.2999310516,0.0,1.0,0.218253968254,1.55525,39.2552,0.0,2.12125770138e+12,0.0,1975.57518387,1509441901.0,34758102803.0,38.2934914425,0.0,1.0,36.0,269.0,269.0,31.0,33139554168.0,OST001f,36.5103136133,11.0,36744591108.0,OST000b,40.4820335887,1509441902.0,0.0,0.0,0.0,1509442170.0,700,52.4425,5768,4.6596896638,8.72034945566,1.15817512877
4855,1509417208.0,1509417014.0,scratch3,7450317,3648.212934,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,549755813888,1,/scratch3,549755813888,stdio,7105,2,_unknown,7105,1509442403,0.0,7450317,2048,1509442209,512.0,195,389186740.877,0.0,0.36245839752,0.0,0.733140128205,1.98952575783,0.0,0.0121082621083,1.0,2.31597,11.1489,5.46418184192e+11,0.0,508.891590118,0.0,1509442201.0,34832668440.0,38.375641455,0.0,1.0,36.0,13.0,13.0,31.0,33215285352.0,OST001f,36.5937477254,11.0,36818224104.0,OST000b,40.5631560976,1509442202.0,0.0,0.0,0.0,1509442214.0,774,309.318055556,5902,4.6596896638,8.72034945566,1.15817512877
4856,1509417259.0,1509417223.0,scratch3,7450317,64679.498731,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/ior,posix,2199023255552,2048,/scratch3,2199023255552,stdio,3460,2,_unknown,3460,1509442454,32.423752,7450317,2048,1509442418,2048.0,37,8492450312.13,0.0,7.90921068948,0.0,0.676236,7.94157287698,0.0,0.126984126984,1.0,1.87923,16.694,2.14009747866e+12,0.0,1993.12109375,0.0,1509442201.0,34832668440.0,38.375641455,0.0,1.0,36.0,222.0,222.0,31.0,33215285352.0,OST001f,36.5937477254,11.0,36818224104.0,OST000b,40.5631560976,1509442202.0,0.0,0.0,0.0,1509442423.0,697,57.5030555556,5762,4.6596896638,8.72034945566,1.15817512877
6119,1509416789.0,1509416686.0,scratch1,7450313,26440.925514,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/vpicio_uni,lustre,0,0,/scratch1,0,posix,2199023259968,1,/scratch1,2199023259968,1509441984,0.0,7450313,2048,1509441881,2048.00000411,104,12968806.4,4588985848.19,0.0120781421661,4.27382611501,1.47735585,13.3601766875,0.0,0.2375,0.0,4.63219,26.853,6225027072.0,2.20271320713e+12,5.79750823975,2051.43653521,1509441602.0,28502729387.0,31.4018584401,0.0,1.0,24.0,284.0,284.0,21.0,27134842496.0,OST0015,29.894838185,17.0,31879349760.0,OST0011,35.1219286664,1509441603.0,0.0,0.0,0.0,1509441886.0,748,164.422222222,5888,4.6596896638,8.72034945566,1.15817512877
6120,1509417115.0,1509417007.0,scratch2,7450315,27535.266109,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/vpicio_uni,lustre,0,0,/scratch2,0,posix,2199023259968,1,/scratch2,2199023259968,1509442310,0.0,7450315,2048,1509442202,2048.00000411,109,83595215.2381,4430391277.81,0.0778541110811,4.12612341141,3.57715428571,13.206721369,0.0,0.0,0.0,6.01723,27.4908,42131988480.0,2.23291720402e+12,39.2384719849,2079.56619935,1509442201.0,62538069894.0,68.8990724807,0.0,1.0,24.0,6.0,6.0,16.0,60866250348.0,OST0010,67.0572053385,7.0,64273731232.0,OST0007,70.8112750243,1509442202.0,0.0,0.0,0.0,1509442207.0,748,172.488611111,5813,5.90840132239,9.38708205836,2.80208575356
6121,1509417452.0,1509417368.0,scratch3,7450317,35258.674174,/global/project/projectdirs/m888/glock/tokio-abc-results/bin.edison/vpicio_uni,lustre,0,0,/scratch3,0,posix,2199023259968,1,/scratch3,2199023259968,1509442647,0.0,7450317,2048,1509442563,2048.00000411,85,123649.673203,3586028876.55,0.000115157731997,3.33974964595,0.607004705882,9.30282085784,0.0,0.759803921569,0.0,1.69215,27.7771,75673600.0,2.19464967245e+12,0.0704765319824,2043.92678332,1509442501.0,34819090683.0,38.3606826489,0.0,1.0,36.0,67.0,67.0,31.0,33199634108.0,OST001f,36.5765045294,11.0,36805736528.0,OST000b,40.5493983592,1509442502.0,0.0,0.0,0.0,1509442568.0,712,133.296388889,5842,4.6596896638,8.72034945566,1.15817512877
